id,message,label,split
1,親愛的用戶您好，這裡是蝦皮購物系統通知，您的訂單因付款系統異常暫時無法出貨。請您立即點擊以下連結進入官方驗證中心 https://shopeepay-secure.com 重新確認付款資訊，以免影響商品寄送。若未於24小時內完成驗證，系統將自動取消訂單並列入風險名單，敬請盡速處理。,1,harmful
2,【PChome 通知】尊敬的會員您好，您的信用卡驗證失敗導致最近的訂單 #PHC82731 暫停出貨。請立即您的信用卡資料以恢復交易。如未於今日23:59前完成，系統將永久凍結您的帳號。,1,harmful
3,您好，7-ELEVEN 線上購物通知：您有一筆包裹因物流地址錯誤無法投遞，請於 https://7eleven-tw.store 重新確認地址資料。我們將於48小時後退回寄件人並暫停帳號功能。若非本人操作，請勿忽視此通知。,1,harmful
4,【全家便利商店】您的包裹編號 FMTW4927 因收件人資料不完整無法配送。請立即點擊 https://fami-delivery-check.com 補充收件資訊。若三日內未完成確認，包裹將自動銷毀且列入黑名單。,1,harmful
5,蝦皮錢包通知：您的錢包餘額因帳號登入異常被暫時鎖定。請前往 https://shopee-walletsafe.com 驗證身份恢復功能。若未在12小時內處理，系統將視為帳號被盜並凍結資金。,1,harmful
6,您有一筆包裹因海關資料不符需重新驗證。請填寫身分證字號及地址資訊，平台會協助處理清關事宜。若48小時內未處理，包裹將退回寄件人並收取手續費。,1,harmful
7,PChomePay 支付中心提醒：偵測到您帳號有異常登入紀錄，為保障資金安全，請立即驗證身份以解除風險鎖定。逾期未驗證可能導致帳號永久停用。,1,harmful
8,親愛的會員您好，因近期系統升級導致部分帳號資料異常，已為您啟動退款程序，請輸入OTP以確認身分並完成退款。,1,harmful
9,您的 Yahoo 奇摩超級商城訂單因付款資訊不符暫停出貨，請確認信用卡資料。若未於今日內完成操作，將自動取消訂單並影響信用紀錄。,1,harmful
10,偵測到您的帳號於其他裝置登入，為確保安全， 重新綁定裝置以防止盜刷。若不回覆，重複扣款將自動轉為分期，請回傳您的身分證影本以便作業。兩小時內未完成綁定與身份認證者，帳號將被鎖定。,1,harmful
11,博客來提醒您，您最近的訂單因地址驗證未通過暫停配送，請至 https://books-com-tw.info 確認您的收件資訊。若48小時內未完成，商品將退回並無法重新寄送。,1,harmful
12,全聯線上購物恭喜您獲選升級VIP資格，限時只要補繳手續費即可開通專屬服務。您的會員資格需進行帳號重新認證。未在期限內完成驗證者將無法繼續使用升級的VIP資格，VIP 升級僅剩少量名額，先付款者優先保留。,1,harmful
13,ShopeePay 提醒：系統偵測您帳號有異常登入紀錄，請立即前往 https://shopeepay-verifytw.com 重新綁定手機號碼。若未於6小時內確認，您的錢包功能將被停用。,1,harmful
