task_id,benchmark,source_dataset,source_config,split,problem_index,unique_id,subject,subject_zh_hans,subject_en,question,question_zh_hans,question_en,answer_raw,answer,answer_format,scoring
olymmath_hard_0_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,1,OlymMATH-HARD-0-ZH,代數,代数,Algebra,"設 $a, b, c \in \mathbb{R}$, $a^3 b + b^3 c + c^3 a = 3$, 求下式的最小值 $f(a, b, c) = (\sum a^4)^4 + 1000 \sum a^2 b^2$.","设 $a, b, c \in \mathbb{R}$, $a^3 b + b^3 c + c^3 a = 3$, 求下式的最小值 $f(a, b, c) = (\sum a^4)^4 + 1000 \sum a^2 b^2$.","Let $a, b, c \in \mathbb{R}$, $a^3 b + b^3 c + c^3 a = 3$, find the minimum value of the expression $f(a, b, c) = (\sum a^4)^4 + 1000 \sum a^2 b^2$.",2625,2625,math_expression,symbolic_equivalence
olymmath_hard_1_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,2,OlymMATH-HARD-1-ZH,幾何,几何,Geometry,"若一個正方體的八個頂點到某平面的距離分別為 $0$, $1$, $2$, $3$, $4$, $5$, $6$, $7$, 考慮這個正方體的所有可能的稜長. 假設可能的稜長構成了集合 $S$, 求 $S$ 中所有元素的平方和.","若一个正方体的八个顶点到某平面的距离分别为 $0$, $1$, $2$, $3$, $4$, $5$, $6$, $7$, 考虑这个正方体的所有可能的棱长. 假设可能的棱长构成了集合 $S$, 求 $S$ 中所有元素的平方和.","If the distances from the eight vertices of a cube to a certain plane are $0$, $1$, $2$, $3$, $4$, $5$, $6$, $7$ respectively, consider all possible edge lengths of this cube. Assuming the possible edge lengths form a set $S$, find the sum of squares of all elements in $S$.",210,210,math_expression,symbolic_equivalence
olymmath_hard_2_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,3,OlymMATH-HARD-2-ZH,代數,代数,Algebra,"對於 $i = 1, 2, \cdots, n$, 都有 $x_i < 1$, 且 $| x_1 | + | x_2 | + \cdots + | x_n | = 19 + | x_1 + x_2 + \cdots + x_n |$, 求正整數 $n$ 的最小值.","对于 $i = 1, 2, \cdots, n$, 都有 $x_i < 1$, 且 $| x_1 | + | x_2 | + \cdots + | x_n | = 19 + | x_1 + x_2 + \cdots + x_n |$, 求正整数 $n$ 的最小值.","For $i = 1, 2, \cdots, n$, we have $x_i < 1$, and $| x_1 | + | x_2 | + \cdots + | x_n | = 19 + | x_1 + x_2 + \cdots + x_n |$. Find the minimum value of the positive integer $n$.",11,11,math_expression,symbolic_equivalence
olymmath_hard_3_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,4,OlymMATH-HARD-3-ZH,幾何,几何,Geometry,"求最少需要幾個正方體 (可懸空), 使其三檢視均為 $3 \times 3$ 的方格.","求最少需要几个正方体 (可悬空), 使其三视图均为 $3 \times 3$ 的方格.","Find the minimum number of cubes (which can be suspended in air) needed so that all three views (front, top, and side) are $3 \times 3$ grids.",8,8,math_expression,symbolic_equivalence
olymmath_hard_4_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,5,OlymMATH-HARD-4-ZH,代數,代数,Algebra,"設 $x$, $y$, $z$ 都是正實數, 求下式的最小值 $f(x, y, z) = \frac{(2 + 5y)(3x + z)(x + 3y)(2z + 5)}{xyz}$.","设 $x$, $y$, $z$ 都是正实数, 求下式的最小值 $f(x, y, z) = \frac{(2 + 5y)(3x + z)(x + 3y)(2z + 5)}{xyz}$.","Let $x$, $y$, $z$ be positive real numbers. Find the minimum value of $f(x, y, z) = \frac{(2 + 5y)(3x + z)(x + 3y)(2z + 5)}{xyz}$.",241 + 44\sqrt{30},241 + 44\sqrt{30},math_expression,symbolic_equivalence
olymmath_hard_5_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,6,OlymMATH-HARD-5-ZH,幾何,几何,Geometry,"已知橢圓 $x^{2} / 4 + y^{2} = 1$, $N_{1}(-1, 0)$, $N_{2}(1, 0)$, $M(3, 0)$, 過 $M$ 的直線交橢圓於 $P$, $Q$ 兩點, 連 $N_{1}P$, $N_{2}Q$, 得交點 $R$. 可以證明 $R$ 的軌跡形成一條二次曲線, 求它的離心率.","已知椭圆 $x^{2} / 4 + y^{2} = 1$, $N_{1}(-1, 0)$, $N_{2}(1, 0)$, $M(3, 0)$, 过 $M$ 的直线交椭圆于 $P$, $Q$ 两点, 连 $N_{1}P$, $N_{2}Q$, 得交点 $R$. 可以证明 $R$ 的轨迹形成一条二次曲线, 求它的离心率.","Given the ellipse $x^{2} / 4 + y^{2} = 1$, $N_{1}(-1, 0)$, $N_{2}(1, 0)$, $M(3, 0)$, a line passing through $M$ intersects the ellipse at two points $P$ and $Q$. Connect $N_{1}P$ and $N_{2}Q$ to get the intersection point $R$. It can be proven that the locus of $R$ forms a conic section. Find its eccentricity.",\frac{\sqrt{51}}{6},\frac{\sqrt{51}}{6},math_expression,symbolic_equivalence
olymmath_hard_6_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,7,OlymMATH-HARD-6-ZH,組合,组合,Combinatorics,"將編號為 $1, 2, \dots, 9$ 的九個小球隨機放置在圓周的九個等分點上, 每個等分點上各有一個小球. 設圓周上所有相鄰兩球號碼之差的絕對值之和為 $S$. 求使 $S$ 達到最小值的放法的機率. 注：如果某種放法經旋轉或鏡面反射後可與另一種放法重合, 則認為是相同的放法.","将编号为 $1, 2, \dots, 9$ 的九个小球随机放置在圆周的九个等分点上, 每个等分点上各有一个小球. 设圆周上所有相邻两球号码之差的绝对值之和为 $S$. 求使 $S$ 达到最小值的放法的概率. 注：如果某种放法经旋转或镜面反射后可与另一种放法重合, 则认为是相同的放法.","Nine small balls numbered $1, 2, \dots, 9$ are randomly placed at nine equally spaced points on a circle, with one ball at each point. Let $S$ be the sum of the absolute differences between the numbers of all adjacent balls on the circle. Find the probability of the arrangement that minimizes the value of $S$. Note: If one arrangement can coincide with another after rotation or mirror reflection, then they are considered the same arrangement.",\frac{1}{315},\frac{1}{315},math_expression,symbolic_equivalence
olymmath_hard_7_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,8,OlymMATH-HARD-7-ZH,幾何,几何,Geometry,"將邊長為 $10$,  $12$,  $14$ 的三角形沿三條中位線折起來圍成四面體. 求四面體的外接球直徑的值.","将边长为 $10$,  $12$,  $14$ 的三角形沿三条中位线折起来围成四面体. 求四面体的外接球直径的值.","A triangle with sides of length $10$, $12$, $14$ is folded along its three medians to form a tetrahedron. Find the diameter of the circumscribed sphere of the tetrahedron.",\sqrt{55},\sqrt{55},math_expression,symbolic_equivalence
olymmath_hard_8_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,9,OlymMATH-HARD-8-ZH,組合,组合,Combinatorics,"對於 $k$, $n \in \mathbf{Z}_{+}$, 設有限數列 $\{a_{k}\}$ 的項數為 $n$, 其中, $a_{k} \leqslant m$, $a_{k}$, $m \in \mathbf{Z}_{+}$. 若 $m=2025$, 試確定項數 $n$ 的最大值, 使得數列 $\{a_{k}\}$ 滿足：(1) 對任意一項 $a_{k}$, 若存在 $a_{k-1}$ 與 $a_{k+1}$, 則 $a_{k-1} \neq a_{k+1}$；(2) 不存在正整數 $i_{1} < i_{2} < i_{3} < i_{4}$, 使得 $a_{{i_{1}}} = a_{{i_{3}}} \neq a_{{i_{2}}} = a_{{i_{4}}}$.","对于 $k$, $n \in \mathbf{Z}_{+}$, 设有限数列 $\{a_{k}\}$ 的项数为 $n$, 其中, $a_{k} \leqslant m$, $a_{k}$, $m \in \mathbf{Z}_{+}$. 若 $m=2025$, 试确定项数 $n$ 的最大值, 使得数列 $\{a_{k}\}$ 满足：(1) 对任意一项 $a_{k}$, 若存在 $a_{k-1}$ 与 $a_{k+1}$, 则 $a_{k-1} \neq a_{k+1}$；(2) 不存在正整数 $i_{1} < i_{2} < i_{3} < i_{4}$, 使得 $a_{{i_{1}}} = a_{{i_{3}}} \neq a_{{i_{2}}} = a_{{i_{4}}}$.","For $k$, $n \in \mathbf{Z}_{+}$, consider a finite sequence $\{a_{k}\}$ with $n$ terms, where $a_{k} \leqslant m$, $a_{k}$, $m \in \mathbf{Z}_{+}$. If $m=2025$, determine the maximum value of $n$ such that the sequence $\{a_{k}\}$ satisfies: (1) for any term $a_{k}$, if $a_{k-1}$ and $a_{k+1}$ exist, then $a_{k-1} \neq a_{k+1}$; (2) there do not exist positive integers $i_{1} < i_{2} < i_{3} < i_{4}$ such that $a_{{i_{1}}} = a_{{i_{3}}} \neq a_{{i_{2}}} = a_{{i_{4}}}$.",8098,8098,math_expression,symbolic_equivalence
olymmath_hard_9_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,10,OlymMATH-HARD-9-ZH,幾何,几何,Geometry,"已知橢圓 $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ 的左焦點為 $F$, $P(x_{0},y_{0})$ 為橢圓上的一點, 且 $x_{0}>0$. 過點 $P$ 作圓 $x^{2}+y^{2}=b^{2}$ 的切線, 與橢圓的第二個交點為 $Q$. 設 $I$ 為 $\triangle PFQ$ 的內心, $\angle PFQ=2\alpha$. 若 $a^2=\sqrt{3}, b^2=\sqrt{2}$, 求 $|FI| \cos \alpha$ 的值.","已知椭圆 $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ 的左焦点为 $F$, $P(x_{0},y_{0})$ 为椭圆上的一点, 且 $x_{0}>0$. 过点 $P$ 作圆 $x^{2}+y^{2}=b^{2}$ 的切线, 与椭圆的第二个交点为 $Q$. 设 $I$ 为 $\triangle PFQ$ 的内心, $\angle PFQ=2\alpha$. 若 $a^2=\sqrt{3}, b^2=\sqrt{2}$, 求 $|FI| \cos \alpha$ 的值.","Given an ellipse $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ with left focus $F$, $P(x_{0},y_{0})$ is a point on the ellipse, where $x_{0}>0$. Draw a tangent line from point $P$ to the circle $x^{2}+y^{2}=b^{2}$, which intersects the ellipse at a second point $Q$. Let $I$ be the incenter of triangle $\triangle PFQ$, and $\angle PFQ=2\alpha$. If $a^2=\sqrt{3}, b^2=\sqrt{2}$, find the value of $|FI| \cos \alpha$.",\sqrt[4]{3},\sqrt[4]{3},math_expression,symbolic_equivalence
