Sentence ID,Biased Sentences,Sources,Toxicity,T-A Combination
483,閩南人總統貪汙是不是發揚閩南精神?,Youtube,0,"[('閩南人', '貪'), ('閩南', '貪')]"
1320,還是有一部份自以為是的閩南大沙文主義者，用歧視的眼光來看這個世界，我都不知道他們的心態是如何,Youtube,0,"[('閩南', '自以為是'), ('閩南', '沙文')]"
1336,大福佬，沙文主義萬歲,Youtube,0,"[('福佬', '沙文')]"
1367,閩南人說他團結，其實是很沙豬主義,Youtube,0,"[('閩南人', '沙豬')]"
1454,我當兵時常常請我同梯跟我們出去從來不出錢的，還有次跟他借10塊投飲料一個月後竟然說我跟他借10塊不還，還有唸書時在南部我的同學很多很小氣從來捨不得請客，所以基本都我來請大家，我說的都是閩南人，他們真的很小氣,Youtube,0,"[('閩南人', '小氣'), ('閩南人', '南部')]"
3645,本省人多生食番膏，這是會有血仇的,Youtube,0,"[('本省', '番膏')]"
3823,早就看透民進黨的閩南沙文主義了,Youtube,0,"[('閩南', '沙文'), ('閩南', '民進黨')]"
3929,他的嘴臉就是福佬沙文主義,Youtube,1,"[('福佬', '沙文')]"
3942,我也很討厭福佬沙文主義,Youtube,0,"[('福佬', '沙文')]"
4110,支持把吃番膏的本省人趕出去,Youtube,1,"[('本省', '番膏')]"
4176,當時白色恐怖時期社經地位高的醫生等菁英敢和國民黨談判 所以後來遭到屠殺，讓這個族群一直反國民黨，台大醫學院一直是本省人的絕對優勢區，當然也或許是醫生的經濟能力好，所以更會在本土意識有強烈的追求，就支持民進黨,Youtube,0,"[('本省', '白色恐怖'), ('本省', '民進黨')]"
4231,大行閩南沙文主義的民進黨，你要叫其他族群怎麼信服...,Youtube,0,"[('閩南', '沙文'), ('閩南', '民進黨')]"
4244,閩南人貪生怕死、愛賭博，酒駕也一堆，還有個貪污總統,Youtube,1,"[('閩南人', '賭博'), ('閩南人', '怕死'), ('閩南人', '貪生'), ('閩南人', '貪')]"
4250,他就是標準的閩南沙文主義,Youtube,0,"[('閩南', '沙文')]"
4275,我認為閩南沙文主義也是多數其他族群選擇支持國民黨而不支持民進黨的原因。,Youtube,0,"[('閩南', '沙文'), ('閩南', '民進黨')]"
4286,新竹縣原本還有讓民進黨連續執政，結果被福佬沙文主義敗掉,Youtube,0,"[('福佬', '沙文'), ('福佬', '民進黨')]"
4365,就是因為民進黨的那套「重宣傳、輕服務」走不出福佬沙文主義。,Youtube,0,"[('福佬', '沙文'), ('福佬', '民進黨')]"
4366,台灣兩個字就是四百年福佬沙文主義的代表,Youtube,0,"[('福佬', '沙文')]"
4376,只有民進黨像個什麼一樣，當全台灣只有他們閩南人，還怪別族群占很多位子，又要別族多學他自己的母語,Youtube,0,"[('閩南人', '民進黨')]"
4399,台語還真的不該是閩南語，閩南沙豬主義的錯誤也該糾正了,Youtube,1,"[('閩南', '沙豬')]"
4446,民進黨的閩南沙文主義就已經是夠大的致命傷了,Youtube,0,"[('閩南', '沙文'), ('閩南', '民進黨')]"
4708,沒錯就是閩南沙文主義,Youtube,0,"[('閩南', '沙文')]"
4835,好一個福佬沙文主義,Youtube,0,"[('福佬', '沙文')]"
7871,愛抽煙喝酒、嚼檳榔、大人賭博、打老婆、男人出門只穿夾腳拖及背心內衣，都是本省家庭的形象寫照,Youtube,0,"[('本省', '賭博')]"
10988,北部人的困擾吧！南部閩南語講得順暢的很多，幾乎都是閩南人,Youtube,0,"[('閩南人', '南部'), ('閩南', '南部')]"
11232,中南部的福佬人一堆家暴、賭博的,Youtube,0,"[('福佬人', '賭博'), ('福佬人', '南部'), ('福佬人', '家暴')]"
