Sentence ID,Biased Sentences,Sources,Toxicity,T-A Combination
61566,前四個幫殺原住民當然要挺，最後一個給原住民福利當然不行,PTT,1,"[('原住民', '福利')]"
277565,分得清矮黑人跟原住民嗎？,PTT,0,"[('原住民', '黑')]"
450208,沒有酒駕的原住民沒有台灣價值,PTT,0,"[('原住民', '酒駕')]"
7145989,可以不要原住民保障名額嗎？一個舔共一個酒駕,PTT,1,"[('原住民', '酒駕')]"
7170418,垃圾原住民啊 一堆酒駕,PTT,1,"[('原住民', '酒駕')]"
7440372,酒駕生番,PTT,1,"[('生番', '酒駕')]"
7445303,原住民等於酒駕,PTT,1,"[('原住民', '酒駕')]"
7445321,酒駕青番,PTT,1,"[('青番', '酒駕')]"
7664047,青番婆面仔黑蛇蛇,PTT,1,"[('青番', '黑')]"
8349665,黑美人讚，他應該是原住民吧,PTT,0,"[('原住民', '黑')]"
9222167,以前看到的新聞柬埔寨人長得也都跟原住民一模一樣跟人種無關，跟貧窮有關，貧窮佔大多數的族群就像黑人一樣,PTT,1,"[('原住民', '黑')]"
9313637,這也是很政治正確的東西，原住民在稅收的貢獻 跟他們拿到的福利還有優待完全不成正比,PTT,0,"[('原住民', '福利')]"
9313638,憑什麼給原住民優惠？他們來台時就沒滅矮黑人嗎,PTT,1,"[('原住民', '優惠')]"
9904285,可以看原住民小朋友黑黑瘦瘦的很可愛,PTT,0,"[('原住民', '黑')]"
10481400,台東原住民深藍到難以撼動,PTT,0,"[('原住民', '台東'), ('原住民', '藍')]"
10602508,原住民餐廳不是有山羌肉之類的嗎？,PTT,0,"[('原住民', '山羌')]"
13936004,就找一個黑黑壯壯然後有點原住民輪廓應該很好認才對,PTT,0,"[('原住民', '黑'), ('原住民', '輪廓')]"
14840935,尊重原住民就是酒駕,PTT,0,"[('原住民', '酒駕')]"
14849301,一堆住在城市的假原住民憑甚麼享受各種福利,PTT,0,"[('原住民', '福利')]"
21865668,台東或花蓮一堆整天跟山豬打架的原住民,PTT,1,"[('原住民', '台東'), ('原住民', '花蓮'), ('原住民', '山豬')]"
21947350,看到原住民可能覺得遇到親人，皮膚都黑黑的,PTT,0,"[('原住民', '黑')]"
22135643,原住民還不是會抓猴子、山羌吃,PTT,1,"[('原住民', '山羌')]"
22993756,只要能遇到原住民都會很團結,PTT,0,"[('原住民', '團結')]"
25523902,好醜皮膚黑，我猜是原住民,PTT,1,"[('原住民', '黑')]"
30633451,不知道他爸媽是不是原住民，如果不是，表示後天的訓練仍然可能讓東方人提升到可以和黑人對抗的層次,PTT,0,"[('原住民', '運動能力')]"
33267151,請尊重原住民的酒駕文化,PTT,0,"[('原住民', '酒駕')]"
33333930,我媽生我狂吃羊肉我超黑，生我妹天天水蜜桃葡萄 我妹比我還白，人家還以為我是原住民就知道我有多黑了,PTT,0,"[('原住民', '黑')]"
34397399,長老你原住民耶本來就黑了,PTT,0,"[('原住民', '黑')]"
66121,原住民只是想分一杯羹啦，怎可能重視文化,PTT,0,"[('原住民', '文化')]"
118904,原住民應該1票=1.35票,PTT,0,"[('原住民', '1.35')]"
128697,原住民+35%球速,PTT,0,"[('原住民', '35')]"
135601,上台大是加分的嗎原住民身份,PTT,0,"[('原住民', '加分')]"
258353,原住民就是有這種返祖現象，開殺就像出草,PTT,0,"[('原住民', '出草')]"
289000,中華文化就是鬥爭呀！原住民愛好和平不好嗎？,PTT,0,"[('原住民', '文化')]"
310436,發現他其實是原住民，靠35%加分才拿全國第一,PTT,0,"[('原住民', '加分')]"
343361,35%給偏鄉才正常好嗎？天母原住民根本是笑話,PTT,1,"[('原住民', '35')]"
378468,以高山族角度來看選擇被漢化的確是叛徒。所以我對加分沒意見。認識的平埔族學經歷都不錯，有頂大的。,PTT,0,"[('平埔族', '漢化'), ('高山族', '加分')]"
385154,原住民不意外，台灣法律的槍砲管制都管不動原住民的獵槍,PTT,0,"[('原住民', '獵槍')]"
385170,原住民不加35%刑責是看不起？連無期都不判個，這法官歧視,PTT,1,"[('原住民', '35')]"
385174,原住民、打獵、酒醉、誤擊，每個都是加分項目,PTT,1,"[('原住民', '加分'), ('原住民', '打獵')]"
385179,原住民有加分才免死好嗎,PTT,0,"[('原住民', '加分')]"
385183,山地人番仔想殺人，還一堆屁話，繼續補助這些廢物阿,PTT,1,"[('山地人', '補助')]"
385185,原住民被判刑有沒有加分制度，判10年變13.5年,PTT,1,"[('原住民', '加分')]"
404586,應該讓原住民裝備M110，SASS上山獵殺山老鼠，一顆人頭，一萬美元賞金。,PTT,0,"[('原住民', '獵殺')]"
405407,學測錄取的所以絕對不會是原住民35%加分上的,PTT,0,"[('原住民', '加分'), ('原住民', '35')]"
405444,幹這好強，反觀某加分原住民,PTT,1,"[('原住民', '加分')]"
732741,不是原住民，沒有辦法加分,PTT,0,"[('原住民', '加分')]"
738074,原住民是不是都很愛喝酒,PTT,0,"[('原住民', '喝酒')]"
738098,原住民最愛喝小米酒,PTT,0,"[('原住民', '小米酒')]"
896223,花蓮原住民有小米酒就行了,PTT,0,"[('原住民', '小米酒'), ('原住民', '花蓮')]"
943972,原住民發文推文加權35%感覺就很適合當黨工,PTT,0,"[('原住民', '35')]"
1041497,說自己是智障原住民才有加分,PTT,1,"[('原住民', '加分')]"
1164154,擔心加分考不上，還特地開原住民學店,PTT,1,"[('原住民', '加分')]"
1244960,低智商原住民才有加分,PTT,1,"[('原住民', '加分')]"
1295159,原住民酒駕仔拿補助申請法扶,PTT,1,"[('原住民', '補助'), ('原住民', '酒駕')]"
1390247,可能原住民+35%吧，這樣就135了,PTT,0,"[('原住民', '35')]"
1396460,大家都知道原住民好吃懶做,PTT,1,"[('原住民', '好吃懶做')]"
1402855,因為生番很兇，會出草,PTT,1,"[('生番', '出草')]"
1461883,不確定有沒有管理員，只有三個好客的原住民在喝小米酒,PTT,0,"[('原住民', '小米酒'), ('原住民', '好客')]"
1573351,我可以天天分享原住民喝酒喝醉之後的趣事,PTT,0,"[('原住民', '喝酒')]"
1602534,原住民沒想那麼多，有錢買小米酒就行不用想那麼多，就是這麼簡單,PTT,0,"[('原住民', '小米酒')]"
1776455,原住民體能加分,PTT,0,"[('原住民', '加分')]"
2209845,有些原住民的歷史智慧很強的確值得學習 ，但抽煙喝酒檳榔不算,PTT,0,"[('原住民', '檳榔'), ('原住民', '喝酒')]"
2774100,所以原住民出草只是個藉口? 人心真是可怕啊,PTT,0,"[('原住民', '出草')]"
4759367,原住民球員喝酒很正常啊！不喝才是不正常,PTT,0,"[('原住民', '喝酒')]"
6663320,如果沒有補助自己也不想被當原住民吧,PTT,0,"[('原住民', '補助')]"
7118849,看起來很像原住民，檳榔ok,PTT,0,"[('原住民', '檳榔')]"
7145781,原住民一邊喝小米酒一邊在樓梯間打架,PTT,0,"[('原住民', '小米酒')]"
7146021,原住民很愛喝酒對戀愛也很激情,PTT,0,"[('原住民', '喝酒')]"
7146405,原住民玩什麼鋼筆，墨水是會多35%嗎,PTT,0,"[('原住民', '35')]"
7146447,這原住民加分仔 ，噁心,PTT,1,"[('原住民', '加分')]"
7170385,原住民加分本來就不OK,PTT,0,"[('原住民', '加分')]"
7170522,哈哈加分仔UCCU，還沒當醫生救人，倒是先害慘一堆原住民,PTT,1,"[('原住民', '加分')]"
7211042,這麼快是不是原住民可以提早35%的時間感覺到地震？,PTT,0,"[('原住民', '35')]"
7332005,是靠原住民身分加分考上的,PTT,0,"[('原住民', '加分')]"
7332006,原住民身分??  ........那就根本沒什麼了原住民指考加分超多,PTT,0,"[('原住民', '加分')]"
7332017,原住民果然帥，但是靠加分真的笑死,PTT,1,"[('原住民', '加分')]"
7332527,原住民那不意外，帥又身材好唱歌又好聽,PTT,0,"[('原住民', '唱歌')]"
7332544,原住民靠加分,PTT,0,"[('原住民', '加分')]"
7332569,原住民靠加分有夠廢,PTT,1,"[('原住民', '加分')]"
7332578,原來是靠加分上去的原住民,PTT,0,"[('原住民', '加分')]"
