model,swebench_pro_model_id,swebench_pro_score,swerebench_model,swerebench_agent_version,swerebench_window_from,swerebench_window_to,swerebench_resolved_rate,swerebench_resolved_rate_sem,swerebench_pass_at_5,match_kind,rationale
MiniMax M3,MiniMaxAI/MiniMax-M3,59.0,MiniMax M3,tools,2026-03-01,2026-05-15,45.63636363636363,1.2662171161076474,67.27272727272727,exact_model,same model label
Kimi K2.6,moonshotai/Kimi-K2.6,58.6,Kimi K2.6,tools,2026-03-01,2026-05-15,46.54545454545455,1.2662171161076474,64.54545454545455,exact_model,same model label
GLM-5.1,zai-org/GLM-5.1,58.4,GLM-5.1,tools,2026-03-01,2026-05-15,50.72727272727272,0.9270944570168703,65.45454545454545,exact_model,same model label
MiniMax M2.7,MiniMaxAI/MiniMax-M2.7,56.2,MiniMax M2.7,tools,2026-02-01,2026-03-01,51.94862155388471,0.9416440680638873,61.40350877192983,exact_model,same model label
MiniMax M2.5,MiniMaxAI/MiniMax-M2.5,55.4,MiniMax M2.5,tools,2026-01-01,2026-03-01,47.71245421245421,1.3664783491887242,60,exact_model,same model label
Kimi K2.5,moonshotai/Kimi-K2.5,50.7,Kimi K2.5,tools,2026-01-01,2026-03-01,49.04395604395604,0.7979212617639928,60.952380952380956,exact_model,same model label
Qwen3-Coder-Next,Qwen/Qwen3-Coder-Next,44.3,Qwen3-Coder-Next,tools,2026-01-01,2026-03-01,47.8003663003663,0.8884973862435783,63.8095238095238,exact_model,same model label
Qwen3-Coder-480B-A35B-Instruct,Qwen/Qwen3-Coder-480B-A35B-Instruct,38.7,Qwen3-Coder-480B-A35B-Instruct,tools,2025-07-01,2026-03-01,36.28992607668324,0.6240184559572816,50,exact_model,same model label
MiniMax M2.1,MiniMaxAI/MiniMax-M2.1,36.81,MiniMax M2.1,tools,2025-11-01,2026-02-01,37.40076824583867,1.7270860622580566,55.24475524475524,exact_model,same model label
Kimi K2 Instruct,moonshotai/Kimi-K2-Instruct,27.67,Kimi K2 Instruct 0905,tools,2025-08-01,2026-02-01,35.396602141753334,0.6755293464631847,51.52542372881356,same_model_snapshot_label,SWE-rebench exposes the 0905 snapshot label; SWE-Bench Pro paper was run as of 2025-09-18
Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B,21.41,Qwen3-235B-A22B,tools,2025-08-01,2025-09-01,18.461538461538463,0.98058067569092,34.61538461538461,exact_model,same model label
gpt-oss-120b,openai/gpt-oss-120b,16.2,gpt-oss-120b,tools,2025-08-01,2026-03-01,27.257229621699537,0.43015859883713925,41.76136363636363,exact_model,same model label
GLM-4.6,zai-org/GLM-4.6,9.67,GLM-4.6,tools,2025-09-01,2026-02-01,37.95182640775499,0.798744274232352,54.73251028806584,exact_model,same model label
