Sentence ID,Biased Sentences,Toxicity,T-A Combination,Sources
38195,女人不都是物質生物嗎,0,"[('女人', '物質')]",Youtube
38207,講怎麼多你是怎樣追女人，女人反正只要包包,0,"[('女人', '包包')]",Youtube
38364,有趣，女生是先感覺後理性的！,0,"[('女生', '感覺')]",Youtube
38387,我物理化學理工都很好，可是地圖、走路怎麼走我跟女生一樣,0,"[('女生', None)]",Youtube
38693,可能是因為他們有錢，就算長得醜，只要有錢有自信，就可以讓很多女生喜歡。,0,"[('女生', '物質')]",Youtube
39468,我是覺得女生不喜歡宅宅很正常啦,0,"[('女生', '情感/感情')]",Youtube
40839,女生一定得溫柔婉約,0,"[('女生', '溫柔')]",Youtube
1246,對於女生來說都比較希望自己偏骨感,0,"[('女生', '骨感')]",Youtube
1403,他真的骨感...那雙腿是會讓女森們羨慕的！,0,"[('女森', '骨感'), ('女森', '腿')]",Youtube
1828,女生都只是看上他的錢，只能說這類的女生太多了,0,"[('女生', '物質')]",Youtube
4090,台灣女性在生育年齡如果還沒有小孩，在求職的時候會被主管懷疑無法持續穩定的工作,0,"[('女性', '小孩')]",Youtube
4128,女生為了家庭做家務照顧孩子放棄工作很正常吧,0,"[('女生', '家庭'), ('女生', '孩子'), ('女生', '家務')]",Youtube
4202,如果大家都不去生小孩的話，世界的末日就到了順其自然吧。 我從來沒聽過誰因為生下小孩以後就全家破產，或是說越過越窮，實際上生了小孩以後日子還會越過越好，為了我們人類的生存，女性就算犧牲也要生。,0,"[('女性', '小孩')]",Youtube
4368,女生會需要請育嬰假,0,"[('女生', '育嬰假')]",Youtube
4591,現在女生物質方面需求多,0,"[('女生', '物質')]",Youtube
5574,女生要的就是感覺,0,"[('女生', '感覺')]",Youtube
6286,女生都不敢直接承諾願意承擔家庭責任，女生如果願意承擔家庭責任，根本不會存在晚婚的問題,0,"[('女生', '家庭')]",Youtube
9095,女生才是最現實的吧,0,"[('女生', '現實')]",Youtube
9528,稱讚有魅力，就像說女生有氣質,0,"[('女生', '氣質')]",Youtube
11005,只要是女性都很愛說「覺得」、「感覺」就是了,0,"[('女', '感覺')]",Youtube
11723,為什麼雙薪家庭最後總是犧牲女性的事業？我們先抹除性別來看，兩人共組一家庭，一個月收七萬、另一個三萬，當今天遇到些事情，必須要有一個人放棄事業來負擔家務的時候，請問應該犧牲誰才是對整體家庭成本最小的？,0,"[('女性', '家庭'), ('女性', '家務')]",Youtube
17982,大胸部的女生會比較多人喜歡,0,"[('女生', '胸部')]",Youtube
19712,比工程數學還難懂的，我想就是女生的心思,0,"[('女生', '難懂')]",Youtube
19765,覺得女孩子真的是地球上最複雜的生物了,0,"[('女孩', '複雜')]",Youtube
22969,通常大齡女子，大部分都是台女,0,"[('台女', '大齡'), ('台女', '台女')]",Youtube
24450,可是女生忍痛力很低啊，受一點小傷就會在那叫來叫去,0,"[('女生', None)]",Youtubex
26570,女人的想法都是瞬息萬變，有時候他們自己也不知道自己的感覺,0,"[('女人', '難搞')]",Youtube
27173,嬌小的女生比較好，總是給人感覺年輕,0,"[('女生', '嬌小'), ('女生', '年輕')]",Youtube
27890,女性微微肉，比較耐看,0,"[('女性', '肉')]",Youtube
28030,身高矮的女生當然不用太介意，但要介意胸部,0,"[('女生', '胸部')]",Youtube
30507,女人是真的很現實的啊,0,"[('女人', '現實')]",Youtube
35183,很多女生都過於敏感又不真實表達要讓人去猜,0,"[('女生', '敏感')]",Youtube
36908,建議女孩應該好好保護自己,0,"[('女孩', '保護自己')]",Youtube
36991,女生對感覺更細膩,0,"[('女生', '感覺')]",Youtube
225,女生很溫柔的,0,"[('女生', '溫柔')]",Youtube
1305,那個女生是真的很漂亮，他的頭腰臀比感覺很完美,0,"[('女生', '美'), ('女生', '漂亮'), ('女生', '腰臀比')]",Youtube
1330,瘦瘦的女孩，好看,0,"[('女孩', '瘦')]",Youtube
1359,不管多高女生超過50就叫胖,0,"[('女生', '胖')]",Youtube
1389,歐洲女性瘦瘦但臀部有肉就很符合肉肉女定義，加上大多歐洲血統女生身高都有170，又高又肉就很符合,0,"[('女性', '瘦'), ('女性', '肉')]",Youtube
1500,女生化妝就是要釣外面的凱子啊,0,"[('女生', '化妝')]",Youtube
1527,多數女生要的又不是對方打扮，而是給的禮物跟吃大餐這種物質上,0,"[('女生', '物質')]",Youtube
1817,這個年輕女生長得真的很老,1,"[('女生', '老'), ('女生', '年輕')]",Youtube
3213,女生穿太少被騷亂是自己招來的,0,"[('女生', '騷擾')]",Youtube
4241,有些女性的夢想是當家庭主婦，他們本身即是社會期望的骨幹成員,0,"[('女性', '家庭主婦')]",Youtube
4402,現在女生普遍現實跟虛華,0,"[('女生', '現實')]",Youtube
4610,現在女生基本只要漂亮就能當條件，沒有歧視，但我的經驗跟身邊的人的經驗，這世代的女生幾乎什麼都不會，不想工作也不做家事，簡直就是找個祖宗來供養,1,"[('女生', '漂亮'), ('女生', '什麼都不會')]",Youtube
4668,文組商院的87%女生是這種想法,1,"[('女生', '文組')]",Youtube
4745,女生「很重視感覺」，有對到她的心,0,"[('女生', '感覺')]",Youtube
4863,人和人之間的關係本來就是建立在一定的互利狀況下才成立，擇偶時考慮到麵包也的確非常重要，但如果一開始就因為麵包的關係而先入為主，我發現這一點生活在亞洲的女生普遍特別嚴重，我猜應該是和生活環境有關， 因為麵包夠才考慮繼續認識和結婚,0,"[('女生', '結婚'), ('女生', '麵包')]",Youtube
5028,女生一定愛化妝、愛買包包,0,"[('女生', '化妝'), ('女生', '買包包')]",Youtube
5077,一推女生就想著，結婚是第二次人生，想找一個高富帥 過上爽爽的人生 自己只需要努力耍廢,0,"[('女生', '結婚')]",Youtube
5090,我倒覺得要花錢去買一個會傷害自己皮膚的東西，不如直接幫女生多貼一點錢去買保養品還比較實在,0,"[('女生', '保養')]",Youtube
5133,大部分女生最愛的條件，有一點錢月收入10萬、幽默感，隨時可以逗得女生花枝亂顫、外表乾淨穿著得體、貼心，基本上要認識女生不難,0,"[('女生', '物質')]",Youtube
5259,女生一開始問對方車房薪水，很正常,0,"[('女生', '物質')]",Youtube
5443,女人是情感的動物，就是對你沒感覺才會用收入來拒絕你,0,"[('女人', '情感')]",Youtube
5448,這種女人挑到後面都人老珠黃還在挑...算了,1,"[('女人', '老')]",Youtube
5479,女生多的是說不重要，但是都只挑比較多錢的職業作為對象，然後因為外遇這種跟錢沒關係的原因離婚。,0,"[('女生', '物質')]",Youtube
5498,現在的台灣女生不會幫你省，只會幫你花，還會幫你養小三，連煮都不會煮，要當花瓶也沒很漂亮當不了 ，也不會做家務，只會說我要去哪旅遊，跟共產黨沒兩樣，也不忠誠，小孩也不生,0,"[('女生', '漂亮'), ('女生', '家務'), ('女生', '小孩')]",Youtube
5504,多少女生要高富帥，結果這個隨便就喜歡自己的對象，當然也會隨便喜歡其他年輕女生啊,0,"[('女生', '年輕')]",Youtube
5628,現在大部份的女生，如果要在一起，無法比單身生活好的話，寧可不要在一起及結婚的。,0,"[('女生', '結婚')]",Youtube
5893,你去聯誼，收入未達標女生馬上用一種看垃圾的歧視眼神來看你，女生自己也不美收入也不高，只有年輕，真的不用去聯誼了，浪費時間，單純的真愛早在學生時代就被搶光了，出社會想靠聯誼結婚生子，圖的都是利益交換,0,"[('女生', '結婚'), ('女生', '美'), ('女生', '年輕')]",Youtube
5949,台灣現在的女孩子有點強勢，獨立自主也不是不好，但家庭不是兩人的事嗎？愛情和麵包，女孩子選的是後者，如何選擇是各人，沒有愛情或少一點愛多一點金的婚姻真的好嗎？,0,"[('女孩', '麵包'), ('女孩', '強勢'), ('女孩', '家庭'), ('女孩', '婚姻')]",Youtube
5974,超多只想吃軟飯，只想找有錢人的女性。,0,"[('女性', '物質')]",Youtube
6020,月薪6～8萬超多了好嗎！現在一堆人都不到3萬！那些眼高手低的女人，最後一定人老珠黃沒人要的，那時在來後悔吧！,1,"[('女人', '老')]",Youtube
6115,女人不用買房，想怎麼花隨便花都行，最後再找個人回收就好,1,"[('女人', '情感/感情')]",Youtube
6176,聽多了說要以結婚為前提交往，但不代表真的會走到婚姻，也不代表彼此適合進入婚姻，尤其適婚的女性朋友，請小心,0,"[('女性', '結婚'), ('女性', '婚姻'), ('女性', '適婚')]",Youtube
6342,女生恨不得結婚,0,"[('女生', '結婚')]",Youtube
6351,錢不多的，女生不想婚！錢多的，女生自己會貼上去！,0,"[('女生', '物質')]",Youtube
6527,那些很想結婚的女生，可能現在生活、工作、家境、收入都不如意，所以幻想著跟對方結婚之後的利益吧,0,"[('女生', '結婚')]",Youtube
6538,這些適婚的女生在追劇還是空瑜到處拍網美照修圖幹嘛的，接著連我收入1/3的女生也好意思來挑我毛病，然後我就清醒了,0,"[('女生', '適婚')] ",Youtube
6540,那麼想結婚的女生通常是沒什麼工作或是事業的吧？,0,"[('女生', '結婚')]",Youtube
6809,女生有時比較細節，有時候家裏缺少了什麼都是女的在填置,0,"[('女生', '細節')]",Youtube
6879,只有漂亮的身體可以當女朋友，找老婆需要更多東西,0,"[('女朋友', '漂亮')]",Youtube
6921,最近也開始思考到底怎樣才可以成為一個準備好結婚的女生,0,"[('女生', '結婚')]",Youtube
